,URL,Title,Part,Chapter,Division,Subchapter,Rule,Source Note
0,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=1,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.1: Applicability,"Source Note: The provisions of this §3.1 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
1,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=3,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.3: Definitions,"Source Note: The provisions of this §3.3 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective February 17, 2005, 30 TexReg 661; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective January 1, 2015, 39 TexReg 10393; amended to be effective April 27, 2021, 46 TexReg 2709"
2,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=5,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.5: Submission Process,"Source Note: The provisions of this §3.5 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
3,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=7,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.7: Selection Process,"Source Note: The provisions of this §3.7 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective April 27, 2021, 46 TexReg 2709"
4,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=9,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.9: Funding Decisions,"Source Note: The provisions of this §3.9 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 5, 2001, 26 TexReg 9775; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
5,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=11,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.11: Grant and Supplemental Award Acceptance,"Source Note: The provisions of this §3.11 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective April 27, 2021, 46 TexReg 2709"
6,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=21,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.21: Use of the Internet,"Source Note: The provisions of this §3.21 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
7,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=23,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.23: Delegation of Authority,"Source Note: The provisions of this §3.23 adopted to be effective December 16, 2002, 27 TexReg 11729; amended to be effective April 27, 2021, 46 TexReg 2709"
8,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=25,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER A: GENERAL GRANT PROGRAM PROVISIONS,RULE §3.25: Suspension of Rules,"Source Note: The provisions of this §3.25 adopted to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925"
9,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=73,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.73: Matching Funds Policy,"Source Note: The provisions of this §3.73 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
